date,non_commercial_long,non_commercial_short,open_interest
2016-01-05,38376,161853,407105
2016-01-12,3122,2128,30332
2016-01-19,3646,1945,31316
2016-01-26,4527,793,31847
2016-02-02,4160,1348,34847
2016-02-09,4928,1358,35194
2016-02-16,5017,793,34818
2016-02-23,4649,793,34513
2016-03-01,4655,793,34144
2016-03-08,5000,889,37977
2016-03-15,31348,106061,322405
2016-03-22,1609,2868,31657
2016-03-29,1324,2734,31644
2016-04-05,896,2712,32492
2016-04-12,0,3695,32466
2016-04-19,435,3969,32490
2016-04-26,0,3051,31608
2016-05-03,455,2140,29518
2016-05-10,632,2048,29713
2016-05-17,692,2028,28378
2016-05-24,44138,92972,350242
2016-05-31,1313,1449,28056
2016-06-07,699,1612,31815
2016-06-14,34745,104819,325402
2016-06-21,1229,2581,26396
2016-06-28,519,2642,28264
2016-07-05,476,3336,29247
2016-07-12,997,4731,30858
2016-07-19,558,5364,31160
2016-07-26,558,5053,31147
2016-08-02,538,5298,32986
2016-08-09,419,4668,33493
2016-08-16,810,5336,33599
2016-08-23,37197,120293,364044
2016-08-30,1072,3391,31988
2016-09-06,32909,120521,375985
2016-09-13,517,4032,31737
2016-09-20,531,5729,28687
2016-09-27,1183,2440,29630
2016-10-04,1577,1440,31348
2016-10-11,1681,1164,30187
2016-10-18,1817,448,30454
2016-10-25,52746,205053,448471
2016-11-01,43948,201538,444502
2016-11-08,39714,174612,418007
2016-11-15,39876,169235,415752
2016-11-22,45054,180975,434768
2016-11-29,43426,199792,447190
2016-12-06,44906,171370,433237
2016-12-13,37839,155164,447679
2016-12-20,37089,142018,399589
2016-12-27,40745,145933,405681
2017-01-03,39085,156312,416239
2017-01-10,40658,156379,415212
2017-01-17,40110,151134,415090
2017-01-24,39640,138292,414447
2017-01-31,0,962,26738
2017-02-07,463,1085,27258
2017-02-14,463,1450,29042
2017-02-21,457,1522,29147
2017-02-28,456,1091,30948
2017-03-07,1718,1013,37703
2017-03-14,2158,2411,33794
2017-03-21,1796,1852,34725
2017-03-28,1971,1940,35416
2017-04-04,1398,1452,34067
2017-04-11,1627,533,33716
2017-04-18,2780,1077,34148
2017-04-25,577,633,32210
2017-05-02,769,1955,32849
2017-05-09,0,2231,32587
2017-05-16,675,2559,32925
2017-05-23,2095,5033,34969
2017-05-30,2256,6103,35335
2017-06-06,3244,5673,33839
2017-06-13,3424,4850,34236
2017-06-20,5034,2929,34647
2017-06-27,4323,2349,34785
2017-07-03,3960,1008,33598
2017-07-11,72673,72383,436899
2017-07-18,77654,71195,446259
2017-07-25,68288,67936,449086
2017-08-01,6086,0,24804
2017-08-08,6106,0,24360
2017-08-15,5800,0,23356
2017-08-22,4775,0,22455
2017-08-29,2553,591,34904
2017-09-05,4192,1505,21905
2017-09-12,3857,1956,23569
2017-09-19,973,882,33105
2017-09-26,486,2078,34235
2017-10-03,489,1926,33901
2017-10-10,635,2654,35161
2017-10-17,1146,3790,35583
2017-10-24,1217,3972,35824
2017-10-31,1429,3765,34969
2017-11-07,1211,3038,35000
2017-11-14,736,3633,35695
2017-11-21,462,4084,36717
2017-11-28,560,5228,38688
2017-12-05,0,3952,40239
2017-12-12,617,3390,45818
2017-12-19,448,3527,37775
2017-12-26,448,3768,37853
2018-01-02,1129,5473,38916
2018-01-09,681,4358,38809
2018-01-16,2877,6699,28551
2018-01-23,2554,7378,28733
2018-01-30,3116,9045,29104
2018-02-06,0,7591,27001
2018-02-13,1203,5735,26056
2018-02-20,2601,4624,25953
2018-02-27,3768,1601,25281
2018-03-06,435,6835,36085
2018-03-13,435,7862,39695
2018-03-20,439,3690,34511
2018-03-27,909,1779,36548
2018-04-03,957,1610,36675
2018-04-10,2144,682,36802
2018-04-17,3290,676,38363
2018-04-24,511,670,36323
2018-05-01,1035,967,36748
2018-05-08,1125,1181,35099
2018-05-15,1125,1072,35107
2018-05-22,1738,419,35309
2018-05-29,6904,1129,24721
2018-06-05,3837,0,37028
2018-06-12,4341,168,39308
2018-06-19,1128,1313,33439
2018-06-26,1128,1818,33268
2018-07-03,510,2201,33281
2018-07-10,510,2103,33066
2018-07-17,5491,1344,27480
2018-07-24,5558,553,27012
2018-07-31,4049,0,25695
2018-08-07,4843,0,25898
2018-08-14,6848,650,27986
2018-08-21,7240,0,29084
2018-08-28,1104,6247,36084
2018-09-04,5068,0,27900
2018-09-11,5839,0,34948
2018-09-18,5298,0,29914
2018-09-25,1864,0,36712
2018-10-02,2620,0,37178
2018-10-09,4459,0,25265
2018-10-16,5307,0,25330
2018-10-23,6156,0,25616
2018-10-30,6941,0,26453
2018-11-06,7876,0,27590
2018-11-13,8262,0,28205
2018-11-20,8201,0,28641
2018-11-27,7476,0,27829
2018-12-04,8717,0,28897
2018-12-11,8261,0,44623
2018-12-18,8298,0,39033
2018-12-24,3881,1251,29007
2018-12-31,3001,1252,28352
2019-01-08,2437,2279,27563
2019-01-15,1556,2777,26916
2019-01-22,1457,2794,27674
2019-01-29,936,2928,27498
2019-02-05,915,1645,26282
2019-02-12,749,1248,26395
2019-02-19,1376,1230,26630
2019-02-26,3428,0,31350
2019-03-05,4805,0,31380
2019-03-12,4494,0,33271
2019-03-19,535,1489,27017
2019-03-26,536,1041,26711
