date,daily_ccy_rank_spread_60,daily_ccy_spread_z_60,daily_ccy_eur_rank_60,daily_ccy_usd_rank_60,daily_ccy_usd_breadth_60,daily_ccy_rank_spread_250,daily_ccy_spread_z_250,daily_ccy_eur_rank_250,daily_ccy_usd_rank_250,daily_ccy_usd_breadth_250,daily_ccy_dispersion_pct
2007-01-02,,,,,,,,,,,
2007-01-03,,,,,,,,,,,
2007-01-04,,,,,,,,,,,
2007-01-05,,,,,,,,,,,
2007-01-08,,,,,,,,,,,
2007-01-09,,,,,,,,,,,
2007-01-10,,,,,,,,,,,
2007-01-11,,,,,,,,,,,
2007-01-12,,,,,,,,,,,
2007-01-15,,,,,,,,,,,
2007-01-16,,,,,,,,,,,
2007-01-17,,,,,,,,,,,
2007-01-18,,,,,,,,,,,
2007-01-19,,,,,,,,,,,
2007-01-22,,,,,,,,,,,
2007-01-23,,,,,,,,,,,
2007-01-24,,,,,,,,,,,
2007-01-25,,,,,,,,,,,
2007-01-26,,,,,,,,,,,
2007-01-29,,,,,,,,,,,
2007-01-30,,,,,,,,,,,
2007-01-31,,,,,,,,,,,
2007-02-01,,,,,,,,,,,
2007-02-02,,,,,,,,,,,
2007-02-05,,,,,,,,,,,
2007-02-06,,,,,,,,,,,
2007-02-07,,,,,,,,,,,
2007-02-08,,,,,,,,,,,
2007-02-09,,,,,,,,,,,
2007-02-12,,,,,,,,,,,
2007-02-13,,,,,,,,,,,
2007-02-14,,,,,,,,,,,
2007-02-15,,,,,,,,,,,
2007-02-16,,,,,,,,,,,
2007-02-19,,,,,,,,,,,
2007-02-20,,,,,,,,,,,
2007-02-21,,,,,,,,,,,
2007-02-22,,,,,,,,,,,
2007-02-23,,,,,,,,,,,
2007-02-26,,,,,,,,,,,
2007-02-27,,,,,,,,,,,
2007-02-28,,,,,,,,,,,
2007-03-01,,,,,,,,,,,
2007-03-02,,,,,,,,,,,
2007-03-05,,,,,,,,,,,
2007-03-06,,,,,,,,,,,
2007-03-07,,,,,,,,,,,
2007-03-08,,,,,,,,,,,
2007-03-09,,,,,,,,,,,
2007-03-12,,,,,,,,,,,
2007-03-13,,,,,,,,,,,
2007-03-14,,,,,,,,,,,
2007-03-15,,,,,,,,,,,
2007-03-16,,,,,,,,,,,
2007-03-19,,,,,,,,,,,
2007-03-20,,,,,,,,,,,
2007-03-21,,,,,,,,,,,
2007-03-22,,,,,,,,,,,
2007-03-23,,,,,,,,,,,
2007-03-26,,,,,,,,,,,
2007-03-27,0.125,1.0307671737070092,0.5,0.375,0.2857142857142857,,,,,,
2007-03-28,0.5,1.701979449860054,0.625,0.125,0.0,,,,,,
2007-03-29,0.625,2.073977969008397,0.75,0.125,0.0,,,,,,
2007-03-30,0.625,2.119843709724802,0.75,0.125,0.0,,,,,,
2007-04-02,0.625,1.620054353990269,0.75,0.125,0.0,,,,,,
2007-04-03,0.625,1.7841968111263584,0.75,0.125,0.0,,,,,,
2007-04-04,0.625,1.8919076472479126,0.75,0.125,0.0,,,,,,
2007-04-05,0.625,2.462140045385743,0.75,0.125,0.0,,,,,,
2007-04-06,0.625,2.211237883570698,0.75,0.125,0.0,,,,,,
2007-04-09,0.5,2.1322623516784684,0.75,0.25,0.14285714285714285,,,,,,
2007-04-10,0.625,1.9920839419498835,0.75,0.125,0.0,,,,,,
2007-04-11,0.625,2.035760937687077,0.75,0.125,0.0,,,,,,
2007-04-12,0.625,2.2166806995670276,0.75,0.125,0.0,,,,,,
2007-04-13,0.625,2.1504247263086764,0.75,0.125,0.0,,,,,,
2007-04-16,0.625,2.1578661468677387,0.75,0.125,0.0,,,,,,
2007-04-17,0.5,2.149298926780221,0.625,0.125,0.0,,,,,,
2007-04-18,0.625,2.1894760867226197,0.75,0.125,0.0,,,,,,
2007-04-19,0.625,2.159620825254691,0.75,0.125,0.0,,,,,,
2007-04-20,0.625,2.0356852752978982,0.75,0.125,0.0,,,,,,
2007-04-23,0.5,2.001476741630611,0.625,0.125,0.0,,,,,,
2007-04-24,0.625,2.0900479090035695,0.75,0.125,0.0,,,,,,
2007-04-25,0.5,1.7825160258000448,0.625,0.125,0.0,,,,,,
2007-04-26,0.5,1.6133495049221132,0.625,0.125,0.0,,,,,,
2007-04-27,0.5,1.8129636905020283,0.625,0.125,0.0,,,,,,
2007-04-30,0.5,1.938035259019599,0.625,0.125,0.0,,,,,,
2007-05-01,0.5,1.5671755331813977,0.625,0.125,0.0,,,,,,
2007-05-02,0.5,1.5791127155805271,0.625,0.125,0.0,,,,,,
2007-05-03,0.5,1.47460375399628,0.625,0.125,0.0,,,,,,
2007-05-04,0.5,1.8790041064649863,0.625,0.125,0.0,,,,,,
2007-05-07,0.5,1.8932874842328686,0.625,0.125,0.0,,,,,,
2007-05-08,0.5,1.6726806456854473,0.625,0.125,0.0,,,,,,
2007-05-09,0.5,1.4125566613420022,0.625,0.125,0.0,,,,,,
2007-05-10,0.375,1.2596603685710108,0.625,0.25,0.14285714285714285,,,,,,
2007-05-11,0.375,1.3388122514276801,0.625,0.25,0.14285714285714285,,,,,,
2007-05-14,0.375,1.2676095219926604,0.625,0.25,0.14285714285714285,,,,,,
2007-05-15,0.375,1.405865471549549,0.625,0.25,0.14285714285714285,,,,,,
2007-05-16,0.5,1.6036665772994365,0.625,0.125,0.0,,,,,,
2007-05-17,0.5,1.4694153281783326,0.625,0.125,0.0,,,,,,
2007-05-18,0.375,1.2257898003771357,0.625,0.25,0.14285714285714285,,,,,,
2007-05-21,0.25,0.8895633734508919,0.625,0.375,0.2857142857142857,,,,,,
2007-05-22,0.25,0.5467672068319211,0.625,0.375,0.2857142857142857,,,,,,
